Timestamp,Second,Sample#,CFPS,Polygons,Ping
2014.06.03-13.51.22,63537400282006.1,432,-,-,-
2014.06.03-13.51.23,63537400283026.2,433,-,-,-
2014.06.03-13.51.24,63537400284016.3,434,-,-,-
2014.06.03-13.51.25,63537400285006.3,435,-,-,-
2014.06.03-13.51.26,63537400286026.4,436,-,-,-
2014.06.03-13.51.27,63537400287016.4,437,-,-,-
2014.06.03-13.51.28,63537400288006.5,438,-,-,-
2014.06.03-13.51.29,63537400289026.5,439,-,-,-
2014.06.03-13.51.30,63537400290017.6,440,-,-,-
2014.06.03-13.51.31,63537400291007.7,441,-,-,-
2014.06.03-13.51.32,63537400292027.7,442,-,-,-
2014.06.03-13.51.33,63537400293017.8,443,-,-,-
2014.06.03-13.51.34,63537400294007.8,444,-,-,-
2014.06.03-13.51.35,63537400295027.9,445,-,-,-
2014.06.03-13.51.36,63537400296017.9,446,-,-,-
2014.06.03-13.51.37,63537400297008,447,-,-,-
2014.06.03-13.51.38,63537400298028.1,448,-,-,-
2014.06.03-13.51.39,63537400299018.1,449,-,-,-
2014.06.03-13.51.40,63537400300008.2,450,-,-,-
2014.06.03-13.51.41,63537400301028.2,451,-,-,-
2014.06.03-13.51.42,63537400302018.3,452,-,-,-
2014.06.03-13.51.43,63537400303008.4,453,-,-,-
2014.06.03-13.51.44,63537400304028.4,454,-,-,-
2014.06.03-13.51.45,63537400305018.5,455,-,-,-
2014.06.03-13.51.46,63537400306008.5,456,-,-,-
2014.06.03-13.51.47,63537400307028.6,457,-,-,-
2014.06.03-13.51.48,63537400308018.6,458,-,-,-
2014.06.03-13.51.49,63537400309008.7,459,-,-,-
2014.06.03-13.51.50,63537400310028.8,460,-,-,-
2014.06.03-13.51.51,63537400311018.8,461,-,-,-
2014.06.03-13.51.52,63537400312008.9,462,-,-,-
2014.06.03-13.51.53,63537400313028.9,463,-,-,-
2014.06.03-13.51.54,63537400314019,464,-,-,-
2014.06.03-13.51.55,63537400315009,465,-,-,-
2014.06.03-13.51.56,63537400316029.1,466,-,-,-
2014.06.03-13.51.57,63537400317019.1,467,-,-,-
2014.06.03-13.51.58,63537400318009.2,468,-,-,-
2014.06.03-13.51.59,63537400319029.3,469,-,-,-
2014.06.03-13.52.00,63537400320019.3,470,-,-,-
2014.06.03-13.52.01,63537400321009.4,471,-,-,-
2014.06.03-13.52.02,63537400322029.4,472,-,-,-
2014.06.03-13.52.03,63537400323019.5,473,-,-,-
2014.06.03-13.52.04,63537400324009.6,474,-,-,-
2014.06.03-13.52.05,63537400325029.6,475,-,-,-
2014.06.03-13.52.06,63537400326019.7,476,-,-,-
2014.06.03-13.52.07,63537400327009.7,477,-,-,-
2014.06.03-13.52.08,63537400328029.8,478,-,-,-
2014.06.03-13.52.09,63537400329019.8,479,-,-,-
2014.06.03-13.52.10,63537400330009.9,480,-,-,-
2014.06.03-13.52.11,63537400331030,481,-,-,-
